Academic Year,Semester,Course,Total Registered,Current Registered,Total Drop,Accepted Drop,Instructor,D+,D,F,A*,A,B+,B,C+,C,E,S,X,0S,18S,27S,36S,9S,16S,4S,8S,12S,45S,36A,18X,18A,W,S^,course title,telegram_file_id
2024-2025,Odd,EE698E,27,19,8,8,Suvendu  Samanta,,1,,1,2,7,5,2,1,,,,,,,,,,,,,,,,,,,POWER CONVERTERS FOR EV CHARGING,AgACAgUAAyEGAASewoS2AAM6aCGpLUKZzv6tPvw2ej4sxI267J4AAufCMRuwKRBVJiH0yhu1Q4QBAAMCAAN3AAM2BA
2024-2025,Odd,MSO203M,659,654,5,5,DHIRENDRA  BAHUGUNA,134,93,37,13,63,94,71,66,63,20,,,,,,,,,,,,,,,,,,PARTIAL DIFFERENTIAL EQUATIONS,AgACAgUAAyEGAASewoS2AAM7aCGpM_XnhooiPffKhGxq-lh4ozAAAujCMRuwKRBVnmhDe_jnsagBAAMCAAN3AAM2BA
2024-2025,Odd,SPA616,36,29,7,7,Kartick Chandra Sarkar,2,2,3,,5,5,4,5,2,1,,,,,,,,,,,,,,,,,,STARS AND STELLAR EVOLUTION,AgACAgUAAyEGAASewoS2AAM8aCGpOQxvh8pqxJjoMIijk3onY7IAAunCMRuwKRBVIfM2SuhFS9QBAAMCAAN3AAM2BA
2024-2025,Odd,EE604,108,91,17,17,Koteswar Rao Jerripothula,3,1,4,4,10,11,19,32,7,,,,,,,,,,,,,,,,,,,IMAGE PROCESSING,AgACAgUAAyEGAASewoS2AAM9aCGpQNksM9Y2NZFN3ibPuP8IRHoAAurCMRuwKRBV1NO9kJodsSEBAAMCAAN3AAM2BA
2024-2025,Odd,AE642,24,23,1,1,Dipak  Kumar Giri,,,1,2,7,5,4,2,2,,,,,,,,,,,,,,,,,,,SATELLITE ATTITUDE DYNAMICS AND CONTROL,AgACAgUAAyEGAASewoS2AAM-aCGpRqufzZfKFJJVcZj2BVt6Ye0AAuvCMRuwKRBVy8cX3XU0p7oBAAMCAAN3AAM2BA
2024-2025,Odd,ES303,37,37,,,Amar   Agarwal,3,,1,,4,15,,10,4,,,,,,,,,,,,,,,,,,,STRUCTURAL GEOLOGY,AgACAgUAAyEGAASewoS2AAM_aCGpTDrkHdUlJnkizo0ctzqlsHIAAuzCMRuwKRBVKc4vA5cciF4BAAMCAAN3AAM2BA
2024-2025,Odd,ES302,35,35,,,Govindarao  Boddepalli,,1,1,,3,10,9,8,3,,,,,,,,,,,,,,,,,,,ORE GEOLOGY,AgACAgUAAyEGAASewoS2AANAaCGpUo6MX8oGBJDgiCrNyR7PI7AAAu3CMRuwKRBVjt6scKAvvgABAQADAgADdwADNgQ
2024-2025,Odd,ECO411A,68,68,,,PRAVEEN  KULSHRESHTHA,5,7,,,15,6,18,7,9,1,,,,,,,,,,,,,,,,,,INDUSTRIAL ECONOMICS,AgACAgUAAyEGAASewoS2AANBaCGpWPpEqevPrgTskXEF89QQtEQAAu7CMRuwKRBVwKMVKwOBkX4BAAMCAAN3AAM2BA
2024-2025,Odd,CHE664,9,8,1,1,RAJ GANESH S  PALA,,,1,,1,2,2,2,,,,,,,,,,,,,,,,,,,,ELECTROCHEMICAL ENERGY CONVERSION AND STORAGE,AgACAgUAAyEGAASewoS2AANCaCGpXkQDBMGRRUqHMrVr7h9FCpAAAu_CMRuwKRBVKGrHYPr7g2wBAAMCAAN3AAM2BA
2024-2025,Odd,ENG456,69,66,3,3,T  RAVICHANDRAN,,1,3,7,11,24,17,2,,1,,,,,,,,,,,,,,,,,,CLIMATE FICTION AND FILMS,AgACAgUAAyEGAASewoS2AANDaCGpZByMPsGkze8WtX079jaKG3AAAvDCMRuwKRBV_asmyDY7cqcBAAMCAAN3AAM2BA
