Academic Year,Semester,Course,Total Registered,Current Registered,Total Drop,Accepted Drop,Instructor,D+,D,F,A*,A,B+,B,C+,C,E,S,X,0S,18S,27S,36S,9S,16S,4S,8S,12S,45S,36A,18X,18A,W,S^,course title,telegram_file_id
2024-2025,Odd,CE666,91,90,1,1,ANUBHA  GOEL,9,5,1,,3,18,22,,31,1,,,,,,,,,,,,,,,,,,AIR POLLUTION AND ITS CONTROL,AgACAgUAAyEGAASewoS2AANEaCGpa17Jyt6AOpUnH51FYdx5m58AAvHCMRuwKRBVgWRoHll7x74BAAMCAAN3AAM2BA
2024-2025,Odd,BSE661,38,35,3,3,Appu Kumar  Singh,1,,,1,4,9,9,8,4,,,,,,,,,,,,,,,,,,,BIOLOGICAL MEMBRANES,AgACAgUAAyEGAASewoS2AANFaCGpcUKTpU6Zw-bD9M3tUQhKe84AAvLCMRuwKRBV8fKETz1plFwBAAMCAAN3AAM2BA
2024-2025,Odd,BSE656,89,86,3,3,NITIN  GUPTA,6,5,1,4,31,3,17,15,4,,,,,,,,,,,,,,,,,,,NEUROBIOLOGY,AgACAgUAAyEGAASewoS2AANGaCGpdxXI0yct1pQTjrabUK74S_oAAvPCMRuwKRBVNHXdiv92v_wBAAMCAAN3AAM2BA
2024-2025,Odd,ENG437,92,91,1,1,Muthukumar  M,2,1,,3,17,13,20,27,8,,,,,,,,,,,,,,,,,,,INDIAN LITERATURE,AgACAgUAAyEGAASewoS2AANHaCGpfR0QaFAvLEMg0V2bVoIbBQQAAvTCMRuwKRBVFElDauAPDfMBAAMCAAN3AAM2BA
2024-2025,Odd,EE650,113,91,22,22,Twinkle  Tripathy,15,4,1,,6,12,22,14,17,,,,,,,,,,,,,,,,,,,BASICS OF MODERN CONTROL SYSTEMS,AgACAgUAAyEGAASewoS2AANIaCGphL0T5j4TgfO6JZulW8AMxg8AAvXCMRuwKRBVKEtjXe8XlsMBAAMCAAN3AAM2BA
2024-2025,Odd,EE602,40,40,,,ADITYA K  JAGANNATHAM,2,,2,3,10,12,7,5,,,,,,,,,,,,,,,,,,,,STATISTICAL SIGNAL PROCESSING-I,AgACAgUAAyEGAASewoS2AANJaCGpigijQOhPgRscMN4mGzAYcjcAAvbCMRuwKRBVg4Yq_icf2jEBAAMCAAN3AAM2BA
2024-2025,Odd,SOC475,85,85,,,Thounaojam  Somokanta,12,4,4,2,9,13,25,9,7,,,,,,,,,,,,,,,,,,,ENVIRONMENTAL SOCIOLOGY,AgACAgUAAyEGAASewoS2AANKaCGpkLqxBV7iWARFkWdAoAtX5bgAAvfCMRuwKRBVTg9dEgHraZcBAAMCAAN3AAM2BA
2024-2025,Odd,CE606M,4,3,1,1,Hemant  Gehlot,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,OPTIMIZATION METHODS FOR CIVIL ENGINEERS,AgACAgUAAyEGAASewoS2AANLaCGplv-evtYL-bv1O02I8rqsaHYAAvjCMRuwKRBVA1921NvTxlwBAAMCAAN3AAM2BA
2024-2025,Odd,CE604,104,99,5,5,SACHCHIDANAND  TRIPATHI,,5,1,4,11,18,25,27,7,1,,,,,,,,,,,,,,,,,,NUMERICAL METHODS FOR CIVIL ENGINEERS,AgACAgUAAyEGAASewoS2AANMaCGpnLdzcrfFx-N7o6rBmCk9074AAvnCMRuwKRBVG2627P8jOOQBAAMCAAN3AAM2BA
2024-2025,Odd,DES638,35,33,2,2,Gowdham Prabhakar P G,,,,7,10,13,2,1,,,,,,,,,,,,,,,,,,,,HUMAN MACHINE INTERACTION,AgACAgUAAyEGAASewoS2AANNaCGpopmmRXM4p48PdONKvO6SIeAAAvrCMRuwKRBVbpnLSj69JmwBAAMCAAN3AAM2BA
2024-2025,Odd,CHE621,48,44,4,4,ANIMANGSU GHATAK,,5,1,1,11,14,12,,,,,,,,,,,,,,,,,,,,,THERMODYNAMICS,AgACAgUAAyEGAASewoS2AANOaCGpqeZPVNyRyYmAbo0HSDOq-dEAAvvCMRuwKRBVwtCBmB1Wt_kBAAMCAAN3AAM2BA
2024-2025,Odd,PHY623,64,64,,,Sudeep Kumar Ghosh,4,3,3,,5,,14,17,17,,,,,,,,,,,,,,,,,,,CONDENSED MATTER PHYSICS,AgACAgUAAyEGAASewoS2AANPaCGpr_XkC968X56TTI7BAjpFzGcAAvzCMRuwKRBVNMOOKo9vbB0BAAMCAAN3AAM2BA
2024-2025,Odd,PHY685,41,32,9,9,ARJUN  BAGCHI,1,2,2,1,7,6,7,3,3,,,,,,,,,,,,,,,,,,,INTRODUCTION TO QUANTUM FIELD THEORY,AgACAgUAAyEGAASewoS2AANQaCGptWK8UP31V7S_QpgPa22CWZgAAv3CMRuwKRBVElUmu_etCOUBAAMCAAN3AAM2BA
2024-2025,Odd,PHY462,19,19,,,Jayita    Nayak,,,,,10,3,4,1,,,,,,,,,,,,,,,,,,,,EXPERIMENTAL PHYSICS II,AgACAgUAAyEGAASewoS2AANRaCGpu550YAQkBlrLnaf6ls2QS9cAAv_CMRuwKRBViDS93TEBLAwBAAMCAAN3AAM2BA
2024-2025,Odd,ESO201,380,352,28,25,PANKAJ  A  APTE,25,31,24,4,22,34,65,75,59,13,,,,,,,,,,,,,,,,,,THERMODYNAMICS,AgACAgUAAyEGAASewoS2AANSaCGpwjX-AAGD9Zl1n_ZTE2YlbSlYAAPDMRuwKRBVhvzV50prSC0BAAMCAAN3AAM2BA
2024-2025,Odd,ME648,15,11,4,4,PRADIPTA K  PANIGRAHI,,1,,,4,3,,3,,,,,,,,,,,,,,,,,,,,COMPUTER AIDED DESIGN OF THERMAL SYSTEMS,AgACAgUAAyEGAASewoS2AANTaCGpyP0LtTlC0csXveIJQSmo4zcAAgHDMRuwKRBVRFml-MYwauQBAAMCAAN3AAM2BA
2024-2025,Odd,SEE624,38,33,5,5,Aakash Chand Rai,,1,1,2,3,7,6,9,4,,,,,,,,,,,,,,,,,,,DESIGN STRATEGIES FOR NET-ZERO ENERGY BUILDINGS,AgACAgUAAyEGAASewoS2AANUaCGpzjRjmnUb1Pd0LOQ73OJgTJgAAgLDMRuwKRBVU1jVmLq6LhwBAAMCAAN3AAM2BA
2024-2025,Odd,CHM303,37,37,,,MANAS KUMAR  GHORAI,4,13,1,,1,1,3,6,2,6,,,,,,,,,,,,,,,,,,ORGANIC CHEMISTRY I,AgACAgUAAyEGAASewoS2AANVaCGp1Pbduwh8FklKBZX2q6EMYLcAAgPDMRuwKRBVmYr6sOgZYPQBAAMCAAN3AAM2BA
2024-2025,Odd,MTH432M,68,67,1,1,SHALABH,5,6,5,8,18,3,10,5,7,,,,,,,,,,,,,,,,,,,INTRODUCTION TO SAMPLING THEORY,AgACAgUAAyEGAASewoS2AANWaCGp2hUZGRjbaPSiHHfrDMNH6PMAAgTDMRuwKRBVq39Uj0suZoUBAAMCAAN3AAM2BA
2024-2025,Odd,EE798Z,65,37,28,27,Sandip  Tiwari,,,4,9,12,6,3,1,1,,,,,,,,,,,,,,,,,,,MATHEMATICAL ENGINEERING AND PHYSICS USING MACHINE LEARNING,AgACAgUAAyEGAASewoS2AANXaCGp4CQDKjDAnALcbsWT1OCrdQ8AAgXDMRuwKRBVVZyX6thRlIkBAAMCAAN3AAM2BA
2024-2025,Odd,DES641,161,156,5,5,Amar Kumar Behera,,,,1,32,58,36,27,2,,,,,,,,,,,,,,,,,,,DESIGN FOR INDUSTRY 4.0 AND INDUSTRIAL INTERNET OF THINGS,AgACAgUAAyEGAASewoS2AANYaCGp5pJhjEAErQFw0VmiMSs_yewAAgbDMRuwKRBVcv-aP8dRadIBAAMCAAN3AAM2BA
2024-2025,Odd,CS771,483,431,52,52,PIYUSH  RAI,9,5,,12,86,74,134,92,11,7,1,,,,,,,,,,,,,,,,,INTRODUCTION TO MACHINE LEARNING,AgACAgUAAyEGAASewoS2AANZaCGp7QfW1kCSWpYXjWW9uhl3BXkAAgfDMRuwKRBVQ8F2gnEatT4BAAMCAAN3AAM2BA
2024-2025,Odd,CS360,93,86,7,7,Soumya  Dutta,,,2,5,13,19,21,17,9,,,,,,,,,,,,,,,,,,,INTRODUCTION TO COMPUTER GRAPHICS,AgACAgUAAyEGAASewoS2AANaaCGp85hnjWBDKwF0fDcfrEuBNFsAAgjDMRuwKRBV_ml7kRtsJswBAAMCAAN3AAM2BA
2024-2025,Odd,ENG431,79,68,11,11,MINI  CHANDRAN,3,5,5,,24,7,10,13,1,,,,,,,,,,,,,,,,,,,THE INDO-ANGLIAN NOVEL,AgACAgUAAyEGAASewoS2AANbaCGp-V_UwJTw1ZdZS0lG5TwOAhIAAgnDMRuwKRBVS4KB2i5OryYBAAMCAAN3AAM2BA
2024-2025,Odd,CS637,343,301,42,42,INDRANIL  SAHA,26,3,,1,34,53,68,63,53,,,,,,,,,,,,,,,,,,,EMBEDDED AND CYBER-PHYSICAL SYSTEMS,AgACAgUAAyEGAASewoS2AANcaCGp_40IZ4QQwP_7D91csynXaUcAAgrDMRuwKRBVvmYd8ARc85cBAAMCAAN3AAM2BA
2024-2025,Odd,AE777,97,92,5,5,ASHISH  TIWARI,6,1,,5,23,14,16,15,12,,,,,,,,,,,,,,,,,,,OPTIMAL SPACE FLIGHT CONTROL,AgACAgUAAyEGAASewoS2AANdaCGqBqVVBNlu5jkBH2yGpEyZUDkAAgvDMRuwKRBVrsbDTm5RiVcBAAMCAAN3AAM2BA
2024-2025,Odd,SEE627,194,183,11,11,Amarendra  Edpuganti,6,1,,,25,54,30,41,25,1,,,,,,,,,,,,,,,,,,ELECTRIC VEHICLES,AgACAgUAAyEGAASewoS2AANeaCGqDOtd0nHsPMsk3ffIPtwapUYAAgzDMRuwKRBVY2KNfOo3xEQBAAMCAAN3AAM2BA
2024-2025,Odd,CS330,165,159,6,6,Debadatta  Mishra,15,12,12,2,34,25,28,19,12,,,,,,,,,,,,,,,,,,,OPERATING SYSTEMS,AgACAgUAAyEGAASewoS2AANfaCGqEmNMboVMwWwhOD8EWKfts1IAAg3DMRuwKRBVT2LGFGc131IBAAMCAAN3AAM2BA
2024-2025,Odd,CS340,163,151,12,12,SUNIL EASAW  SIMON,16,17,10,10,20,19,20,22,14,3,,,,,,,,,,,,,,,,,,THEORY OF COMPUTATION,AgACAgUAAyEGAASewoS2AANgaCGqGZ44xxMGl6GhUDuNc40AAYaxAAIOwzEbsCkQVesJbAVtApObAQADAgADdwADNgQ
2024-2025,Odd,ENG408,79,79,,,SUDHARSHANA  N P,5,,,2,11,21,25,9,6,,,,,,,,,,,,,,,,,,,SECOND LANGUAGE ACQUISITION,AgACAgUAAyEGAASewoS2AANhaCGqH74v9cFDIe8QEEcn-oPNLWoAAg_DMRuwKRBVq2wpAzREamkBAAMCAAN3AAM2BA
2024-2025,Odd,CS345,187,184,3,2,RAGHUNATH  TEWARI,29,19,8,3,34,22,26,25,18,,,,,,,,,,,,,,,,,,,ALGORITHMS-II,AgACAgUAAyEGAASewoS2AANiaCGqJQNwxpvTwIRStH4MFqhTgooAAhHDMRuwKRBVgW7ps04p5xEBAAMCAAN3AAM2BA
2024-2025,Odd,ECO731,45,36,9,9,Neelanjan  Datta,,,,4,1,5,3,11,12,,,,,,,,,,,,,,,,,,,PUBLIC ECONOMICS AND PUBLIC POLICY,AgACAgUAAyEGAASewoS2AANjaCGqK4b2SANj6KBicVptwbpqHZEAAhLDMRuwKRBVMxXzrG_st80BAAMCAAN3AAM2BA
2024-2025,Odd,CS786,84,77,7,6,Nisheeth  Srivastava,5,1,2,7,11,16,17,12,5,1,,,,,,,,,,,,,,,,,,COMPUTATIONAL COGNITIVE SCIENCE,AgACAgUAAyEGAASewoS2AANkaCGqMZ43VTJPLhi8rxJ4eYk7N9kAAhPDMRuwKRBVLTIMArrM1MEBAAMCAAN3AAM2BA
2024-2025,Odd,MTH302,87,86,1,1,Ashutosh  Kumar,9,17,6,,4,3,10,19,18,,,,,,,,,,,,,,,,,,,SET THEORY & LOGIC,AgACAgUAAyEGAASewoS2AANlaCGqNx-Edou0Z6rKqbG_UIERpewAAhTDMRuwKRBVlLhGPqnY8u0BAAMCAAN3AAM2BA
2024-2025,Odd,ECO412A,65,65,,,SOMESH KUMAR  MATHUR,6,7,1,,7,9,7,13,15,,,,,,,,,,,,,,,,,,,INTERNATIONAL ECONOMICS AND FINANCE,AgACAgUAAyEGAASewoS2AANmaCGqPty6ggABLg4-0Wm-I_xf3E49AAIVwzEbsCkQVeJMY04iD1lzAQADAgADdwADNgQ
2024-2025,Odd,CHM241,159,146,13,13,Anantharaj  Sengeni,13,4,,5,13,33,28,28,22,,,,,,,,,,,,,,,,,,,BASIC INORGANIC CHEMISTRY - I,AgACAgUAAyEGAASewoS2AANnaCGqRPmGL13lrceOBv9Fs5dPQsQAAhbDMRuwKRBVUqm04ur8rDcBAAMCAAN3AAM2BA
2024-2025,Odd,EE320,215,215,,,Abhishek Kumar Gupta,17,3,5,1,25,25,52,48,39,,,,,,,,,,,,,,,,,,,PRINCIPLES OF COMMUNICATIONS,AgACAgUAAyEGAASewoS2AANoaCGqS-27GClxg8L8qkRw-yLDPBMAAhfDMRuwKRBV7zlsCYW1AmsBAAMCAAN3AAM2BA
2024-2025,Odd,EE654,22,21,1,1,Abhilash  Patel,2,2,1,1,6,2,4,1,1,,,,,,,,,,,,,,,,,,,ROBUST CONTROL SYSTEMS,AgACAgUAAyEGAASewoS2AANpaCGqUd2-vpC9I5UF2bBOUWCvH5cAAhjDMRuwKRBV7FNyMCIxu8oBAAMCAAN3AAM2BA
2024-2025,Odd,PE112,6,6,,,INDRA SEKHAR  SEN,,,,,,,,,,,5,1,,,,,,,,,,,,,,,,EVENING EXERCISE,AgACAgUAAyEGAASewoS2AANqaCGqV769TPlHE8-M9lUcA_WznaMAAhnDMRuwKRBVX_1LBwuFB_cBAAMCAAN3AAM2BA
2024-2025,Odd,CHM503,54,54,,,ANAND  SINGH,,,,,54,,,,,,,,,,,,,,,,,,,,,,,ORGANIC PREPARATION LAB,AgACAgUAAyEGAASewoS2AANraCGqXcMVDOp0PG71_mtAaTO5OecAAhrDMRuwKRBVWZD42ExiqbIBAAMCAAN3AAM2BA
2024-2025,Odd,SOC476,90,89,1,1,Esha  Chatterjee,3,2,,9,24,17,18,15,1,,,,,,,,,,,,,,,,,,,CONTEMPORARY APPLICATIONS OF SOCIAL DEMOGRAPHY,AgACAgUAAyEGAASewoS2AANsaCGqY5VTzBmVSWVHrMfohU8fJU0AAhvDMRuwKRBVbGFL0_pcYzYBAAMCAAN3AAM2BA
2024-2025,Odd,CHE453A,105,105,,,Dipin Sasidharan Pillai,10,16,3,2,11,16,21,11,11,4,,,,,,,,,,,,,,,,,,CHEMICAL ENGINEERING DESIGN,AgACAgUAAyEGAASewoS2AANtaCGqaZQK4Y4LQkaw3rXLPinXqAUAAhzDMRuwKRBVuNUMyA0eMYYBAAMCAAN3AAM2BA
2024-2025,Odd,CHE251,110,110,,,SRI SIVAKUMAR,11,6,1,1,7,10,19,33,21,1,,,,,,,,,,,,,,,,,,INTRODUCTION TO CHE AND PROCESS CALCULATION,AgACAgUAAyEGAASewoS2AANuaCGqcHetlKDpGrKigdZFJ11U1OgAAh3DMRuwKRBV-_vGr6KQvqMBAAMCAAN3AAM2BA
2024-2025,Odd,ECO351,70,69,1,1,Malabika  Koley,,,,3,8,9,23,19,4,3,,,,,,,,,,,,,,,,,,ECONOMETRICS II,AgACAgUAAyEGAASewoS2AANvaCGqdlC14I4a55HZWWiM-I096_EAAh7DMRuwKRBVEmHq7X7Pl6sBAAMCAAN3AAM2BA
2024-2025,Odd,HSO201,296,294,2,2,JOYDEEP  DUTTA,,,,6,61,186,29,12,,,,,,,,,,,,,,,,,,,,APPLIED PROBABILITY AND STATISTICS,AgACAgUAAyEGAASewoS2AANwaCGqfMYKsFUi_5qqFAvPRs6GqCkAAh_DMRuwKRBVSZGR9K8p2gcBAAMCAAN3AAM2BA
2024-2025,Odd,CE331,158,156,2,,Salil  Goel,13,3,7,,11,26,55,24,17,,,,,,,,,,,,,,,,,,,PRINCIPLES OF GEOINFORMATICS,AgACAgUAAyEGAASewoS2AANxaCGqgjnRX1NiIwoMAAFEYugkRmT2AAIgwzEbsCkQVWF15BpI3DCaAQADAgADdwADNgQ
2024-2025,Odd,CE261,141,141,,,Chunendra Kumar Sahu,9,2,2,,6,10,49,39,23,1,,,,,,,,,,,,,,,,,,FLUID MECHANICS FOR CIVIL ENGINEERS,AgACAgUAAyEGAASewoS2AANyaCGqiNLR1EwR2_CkQXbTvmyRE44AAiHDMRuwKRBVa6Igw4tUgooBAAMCAAN3AAM2BA
2024-2025,Odd,CE212,199,199,,,TARUN  GUPTA,18,14,7,,2,28,54,51,15,10,,,,,,,,,,,,,,,,,,ENVIRONMENT AND SUSTAINABILITY,AgACAgUAAyEGAASewoS2AANzaCGqj6M_LbKSgB1CRAdoG1SWuC0AAiLDMRuwKRBVSSb6CbphW9oBAAMCAAN3AAM2BA
2024-2025,Odd,BSE498,2,2,,,DUGCBSBE,,,,,2,,,,,,,,,,,,,,,,,,,,,,,PROJECT I,AgACAgUAAyEGAASewoS2AAN0aCGqlX2HHiE5gy4_MzFBx18_HB0AAiTDMRuwKRBVCCkqk2ulgp8BAAMCAAN3AAM2BA
2024-2025,Odd,CHE659,64,61,3,2,SIDDHARTHA  PANDA,3,,,,7,10,17,13,11,,,,,,,,,,,,,,,,,,,PROCESS ENGG. PRINCIPLES IN MICRO. FABRICATION,AgACAgUAAyEGAASewoS2AAN1aCGqm_ZY8U5cBB8lg1il6VEPjZwAAiXDMRuwKRBVueBaj35qiBkBAAMCAAN3AAM2BA
2024-2025,Odd,SPA613M,27,27,,,Prashant  Pathak,3,,,,1,5,4,7,7,,,,,,,,,,,,,,,,,,,INTRODUCTION TO CELESTIAL OBSERVATIONAL TECHNIQUES,AgACAgUAAyEGAASewoS2AAN2aCGqoXzA7unJgjorvLLR7ro0Gl4AAibDMRuwKRBVxDOTAuG2cDgBAAMCAAN3AAM2BA
2024-2025,Odd,CHE684,55,54,1,1,RAGHVENDRA  SINGH,1,,,2,13,4,19,13,2,,,,,,,,,,,,,,,,,,,AN INTRODUCTION TO SYSTEMS BIOLOGY,AgACAgUAAyEGAASewoS2AAN3aCGqqFEVYgKhUGMCvid23MRpAYEAAifDMRuwKRBVge2qw38UVa0BAAMCAAN3AAM2BA
2024-2025,Odd,MSO202M,556,551,5,5,Saurabh Kumar  Singh,52,,38,9,58,60,81,150,106,,,,,,,,,,,,,,,,,,,COMPLEX VARIABLES,AgACAgUAAyEGAASewoS2AAN4aCGqrp0lV7JYCNOKv2mC2YhreiwAAinDMRuwKRBVsdPG_IuJtr8BAAMCAAN3AAM2BA
2024-2025,Odd,ME333,153,152,1,,PRADIPTA K  PANIGRAHI,13,22,7,1,7,21,35,15,24,7,,,,,,,,,,,,,,,,,,EXPERIMENTS IN MECHANICAL ENGINEERING I,AgACAgUAAyEGAASewoS2AAN5aCGqtAABSqeu5nJYblvAvIPFb5moAAIqwzEbsCkQVbGuBu_w95tQAQADAgADdwADNgQ
2024-2025,Odd,MTH403,129,127,2,2,PARASAR  MOHANTY,19,18,6,7,13,10,17,14,23,,,,,,,,,,,,,,,,,,,COMPLEX ANALYSIS,AgACAgUAAyEGAASewoS2AAN6aCGqu1_tMFTULjrvXOv2acQLQrkAAivDMRuwKRBVihUm8tVHhT0BAAMCAAN3AAM2BA
2024-2025,Odd,MTH421,130,130,,,MALAY  BANERJEE,6,15,29,,1,11,19,23,21,5,,,,,,,,,,,,,,,,,,ORDINARY DIFFERENTIAL EQUATIONS,AgACAgUAAyEGAASewoS2AAN7aCGqwXkacOhjO9IDeMzrjGbeThAAAizDMRuwKRBVAAFZcANpkhxmAQADAgADdwADNgQ
2024-2025,Odd,MTH443A,106,100,6,6,AMIT MITRA,5,5,,6,19,23,17,16,9,,,,,,,,,,,,,,,,,,,STATISTICAL & AI TECHNIQUES IN DATA MINING,AgACAgUAAyEGAASewoS2AAN8aCGqxz5QhuBnyNbxLKo_8zvejgYAAi3DMRuwKRBVH0sZ1tqGvqEBAAMCAAN3AAM2BA
2024-2025,Odd,MTH430A,70,70,,,AKASH  ANAND,21,4,,4,3,3,11,17,7,,,,,,,,,,,,,,,,,,,NUMERICAL ANALYSIS & SCIENTIFIC COMPUTING II,AgACAgUAAyEGAASewoS2AAN9aCGqzq8fLTM7_JVxCf8LrPveHr4AAi7DMRuwKRBVa4kjZVc0O38BAAMCAAN3AAM2BA
2024-2025,Odd,MTH620,35,33,2,2,RAMA RAWAT,1,,,2,7,2,2,9,9,,1,,,,,,,,,,,,,,,,,MEASURE THEORY,AgACAgUAAyEGAASewoS2AAN-aCGq1NEQuRHjlsvzIN_TPyLG_VcAAi_DMRuwKRBVwJu3itC2S40BAAMCAAN3AAM2BA
2024-2025,Odd,LIF111,620,619,1,,PRADIP  SINHA,118,67,7,,22,44,83,135,123,20,,,,,,,,,,,,,,,,,,INTRODUCTION TO BIOLOGY,AgACAgUAAyEGAASewoS2AAN_aCGq2k2cYJZBZEj_-eMVJcaDXfEAAjDDMRuwKRBVdHobWYRxAAH3AQADAgADdwADNgQ
2024-2025,Odd,CHE641,35,18,17,17,SANJEEV GARG,3,2,,,1,2,2,7,1,,,,,,,,,,,,,,,,,,,MATHEMATICAL METHODS IN CHEMICAL ENGINEERING,AgACAgUAAyEGAASewoS2AAOAaCGq4NERLfsK5hYxhdwR2AUBm6sAAjHDMRuwKRBVD6E0cP7SywUBAAMCAAN3AAM2BA
2024-2025,Odd,ESO206,165,162,3,3,ASHWANI KUMAR  THAKUR,12,4,10,3,13,22,31,43,24,,,,,,,,,,,,,,,,,,,PRINCIPLES OF BIOTECHNOLOGY,AgACAgUAAyEGAASewoS2AAOBaCGq5ykyYcPBltTrnNh7k2tIZJ8AAjLDMRuwKRBVggnrowtCfM0BAAMCAAN3AAM2BA
2024-2025,Odd,MTH405,43,20,23,19,KAUSHIK  BAL,,,5,,8,,6,,1,,,,,,,,,,,,,,,,,,,FUNCTIONAL ANALYSIS,AgACAgUAAyEGAASewoS2AAOCaCGq7XpDhpzjSb5AvJ6AqET0AqAAAjPDMRuwKRBVVdcyIEoJf48BAAMCAAN3AAM2BA
2024-2025,Odd,AE611,12,12,,,Arun  Kumar  Perumal,,,,,2,7,3,,,,,,,,,,,,,,,,,,,,,MEASUREMENTS IN FLUID MECHANICS,AgACAgUAAyEGAASewoS2AAODaCGq861SO0fFJXufm5mrJb-OV-0AAjTDMRuwKRBVrLNhSSfq_wwBAAMCAAN3AAM2BA
2024-2025,Odd,AE451A,70,70,,,RAJESH  KITEY,,3,,3,17,10,20,4,13,,,,,,,,,,,,,,,,,,,EXPERIMENTS IN AEROSPACE ENGINEERING III,AgACAgUAAyEGAASewoS2AAOEaCGq-XsOLSjyV_rFPUuJcokXEOEAAjXDMRuwKRBVTjZToXU2dwgBAAMCAAN3AAM2BA
2024-2025,Odd,ENG433,77,75,2,2,G  NEELAKANTAN,4,3,1,5,21,9,18,8,6,,,,,,,,,,,,,,,,,,,MODERN DRAMA,AgACAgUAAyEGAASewoS2AAOFaCGq_-cYlyqQ_m3Fc5diNdpHMTYAAjbDMRuwKRBVYQgG_nwk16IBAAMCAAN3AAM2BA
2024-2025,Odd,AE311,80,79,1,1,Tufan Kumar Guha,16,18,1,1,4,5,11,8,15,,,,,,,,,,,,,,,,,,,COMPRESSIBLE AERODYNAMICS,AgACAgUAAyEGAASewoS2AAOGaCGrBczKESGL9Pjmn9ZaK3ujF9YAAjfDMRuwKRBVljYwvUlRs_4BAAMCAAN3AAM2BA
2024-2025,Odd,SEE606,56,50,6,6,Soumyabrata  Roy,5,2,5,1,6,9,11,3,7,1,,,,,,,,,,,,,,,,,,ELECTROCHEMICAL ENERGY SYSTEMS,AgACAgUAAyEGAASewoS2AAOHaCGrDGel4mIS7xngESLehl5ftsYAAjjDMRuwKRBVSWMYSrbzkmwBAAMCAAN3AAM2BA
2024-2025,Odd,MTH658,31,30,1,1,SAKTIPADA  GHORAI,5,2,,1,4,3,1,5,9,,,,,,,,,,,,,,,,,,,NONLINEAR DYNAMICAL SYSTEMS,AgACAgUAAyEGAASewoS2AAOIaCGrEuxJqYKsdSbyY6kWn3tc5mgAAjnDMRuwKRBVgucAAQ5U57z_AQADAgADdwADNgQ
2024-2025,Odd,MTH301,94,90,4,1,Arijit    Ganguly,23,26,21,,,1,1,5,13,,,,,,,,,,,,,,,,,,,ANALYSIS - I,AgACAgUAAyEGAASewoS2AAOJaCGrGWIFGCVng9LW08ccMHSdbtcAAjrDMRuwKRBV9uDoe6CoLT8BAAMCAAN3AAM2BA
2024-2025,Odd,CE451,44,41,3,3,Gaurav    Tiwari,2,1,,,2,2,8,21,5,,,,,,,,,,,,,,,,,,,APPLICATION OF GEOTECHNICAL ENGINEERING,AgACAgUAAyEGAASewoS2AAOKaCGrH0UVmn2qs_JzmzfTFhS7tWgAAjvDMRuwKRBVQQ-z9QmHK6IBAAMCAAN3AAM2BA
2024-2025,Odd,ME401A,155,155,,,SUBRATA  SARKAR,,1,,13,19,48,44,17,13,,,,,,,,,,,,,,,,,,,ENERGY SYSTEMS-II,AgACAgUAAyEGAASewoS2AAOLaCGrJS3i22ViZI-7EAIMINRKEysAAjzDMRuwKRBV2ha7RDm3y8gBAAMCAAN3AAM2BA
2024-2025,Odd,ME359,18,17,1,1,P A  Lakshminarayanan,,,1,,4,4,5,1,2,,,,,,,,,,,,,,,,,,,INTERNAL COMBUSTION ENGINES,AgACAgUAAyEGAASewoS2AAOMaCGrKyVU9Crv99anWUkQR2goE74AAj3DMRuwKRBVlcizvMXd4dwBAAMCAAN3AAM2BA
2024-2025,Odd,CS396A,7,7,,,DUGCCSE,,,,,5,,2,,,,,,,,,,,,,,,,,,,,,UG PROJECT (UGP-II),AgACAgUAAyEGAASewoS2AAONaCGrMa2C85agB_isgeOyKATWzJUAAj7DMRuwKRBVjjFWgxUyIa4BAAMCAAN3AAM2BA
2024-2025,Odd,CS685,61,54,7,5,ARNAB BHATTACHARYA,3,4,2,,11,6,12,9,9,,,,,,,,,,,,,,,,,,,DATA MINING,AgACAgUAAyEGAASewoS2AAOOaCGrN9mbZz38yVYg1-EPoFObQ_QAAj_DMRuwKRBV19e8EqTQWBkBAAMCAAN3AAM2BA
2024-2025,Odd,PHY431,112,107,5,5,JOYDEEP  CHAKRABORTTY,10,16,1,1,4,12,22,21,20,,,,,,,,,,,,,,,,,,,QUANTUM MECHANICS I,AgACAgUAAyEGAASewoS2AAOPaCGrPvSc1IC6w4ldQ089KmN3AAH7AAJAwzEbsCkQVWRF-fv2DC_LAQADAgADdwADNgQ
2024-2025,Odd,PHY407,65,49,16,16,KAUSHIK  BHATTACHARYA,3,2,4,1,7,7,13,8,3,,,,,,,,,,,,,,,,,,,SPECIAL & GENERAL RELATIVITY,AgACAgUAAyEGAASewoS2AAOQaCGrRH5O2N7fM4mfnCY9Yglc130AAkHDMRuwKRBVShNppIeJ6LsBAAMCAAN3AAM2BA
2024-2025,Odd,PHY307,17,11,6,6,S ANANTHA  RAMAKRISHNA,2,,3,,1,1,2,2,,,,,,,,,,,,,,,,,,,,MODERN OPTICS (ITS PHYSICS & ENGINEERING),AgACAgUAAyEGAASewoS2AAORaCGrSrV-nVDNPpMZhDPOPAHJuWwAAkLDMRuwKRBV1Xe5-oS-Z38BAAMCAAN3AAM2BA
2024-2025,Odd,CHM201,44,43,1,1,Ramkrishna  Sarkar,2,,1,4,7,13,10,5,1,,,,,,,,,,,,,,,,,,,BASIC ORGANIC CHEMISTRY-I,AgACAgUAAyEGAASewoS2AAOSaCGrUG7kRDKmipkEN8efN605mNAAAkPDMRuwKRBVizXKDJnsb0wBAAMCAAN3AAM2BA
